run,time_s,q
41,0.002325321136489888,-0.6931457818269653
41,0.0023293211364898885,-0.6931458078414773
41,0.002333821136489889,-0.6931458364018689
41,0.0023383211364898897,-0.6931458642331797
41,0.00234232113648989,-0.6931458883751112
41,0.002346821136489891,-0.693145914879665
41,0.0023513211364898914,-0.6931459407076185
41,0.002355321136489892,-0.693145963111762
41,0.0023598211364898925,-0.6931459877084615
41,0.002364321136489893,-0.6931460116772636
41,0.0023683211364898937,-0.6931460324687095
41,0.0023728211364898943,-0.6931460552948859
41,0.002377321136489895,-0.6931460775383631
41,0.0023813211364898954,-0.6931460968331962
41,0.002385821136489896,-0.6931461180162957
41,0.0023903211364898966,-0.693146138658639
41,0.002394321136489897,-0.6931461565645889
41,0.0023988211364898977,-0.6931461762228843
41,0.0024033211364898983,-0.6931461953793477
41,0.002407321136489899,-0.6931462119963886
41,0.0024118211364898994,-0.6931462302396383
41,0.0024163211364899,-0.6931462480171786
41,0.0024203211364899006,-0.6931462634380903
41,0.002424821136489901,-0.6931462803681512
41,0.0024293211364899018,-0.6931462968660268
41,0.0024333211364899023,-0.6931463111769077
41,0.002437821136489903,-0.6931463268883066
41,0.0024423211364899035,-0.6931463421986295
41,0.002446821136489904,-0.6931463571181149
41,0.0024508211364899046,-0.6931463700598417
41,0.002455321136489905,-0.6931463842680957
41,0.002459821136489906,-0.6931463981136456
41,0.0024638211364899063,-0.6931464101237987
41,0.002468321136489907,-0.6931464233093122
41,0.0024728211364899075,-0.6931464361582294
41,0.002476821136489908,-0.6931464473038663
41,0.0024813211364899087,-0.6931464595402578
41,0.0024858211364899093,-0.693146471464283
41,0.00248982113648991,-0.6931464818076328
41,0.0024943211364899104,-0.6931464931632227
41,0.002498821136489911,-0.6931465042289306
41,0.0025028211364899115,-0.693146513827744
41,0.002507321136489912,-0.6931465243659345
41,0.0025118211364899127,-0.6931465346351088
41,0.0025158211364899132,-0.6931465435429793
41,0.002520321136489914,-0.6931465533226081
41,0.0025248211364899144,-0.6931465628525859
41,0.002528821136489915,-0.693146571119249
41,0.0025333211364899156,-0.6931465801949194
41,0.002537821136489916,-0.6931465890389089
41,0.0025418211364899167,-0.6931465967105204
41,0.0025463211364899173,-0.6931466051329053
41,0.002550821136489918,-0.6931466133402853
41,0.0025553211364899185,-0.6931466213381505
41,0.002559321136489919,-0.6931466282758004
41,0.0025638211364899196,-0.6931466358923954
41,0.00256832113648992,-0.6931466433145563
41,0.0025723211364899207,-0.6931466497528203
41,0.0025768211364899213,-0.693146656821157
41,0.002581321136489922,-0.6931466637090558
41,0.0025853211364899225,-0.6931466696838794
41,0.002589821136489923,-0.6931466762434225
41,0.0025943211364899237,-0.6931466826355152
41,0.002598321136489924,-0.6931466881802578
41,0.002602821136489925,-0.693146694267631
41,0.0026073211364899254,-0.6931467001996066
41,0.002611321136489926,-0.6931467053452267
41,0.0026158211364899265,-0.6931467109944178
41,0.002620321136489927,-0.6931467164993977
41,0.0026243211364899276,-0.6931467212746254
41,0.0026288211364899282,-0.6931467265171751
41,0.002633321136489929,-0.6931467316258952
41,0.0026373211364899294,-0.6931467360573917
41,0.00264182113648993,-0.6931467409225718
41,0.0026463211364899306,-0.6931467456635546
41,0.002650321136489931,-0.6931467497760626
41,0.0026548211364899317,-0.693146754291037
41,0.0026593211364899323,-0.6931467586907539
41,0.002663321136489933,-0.6931467625072354
41,0.0026678211364899334,-0.6931467666972119
41,0.002672321136489934,-0.6931467707802278
41,0.0026768211364899346,-0.6931467747590144
41,0.002680821136489935,-0.6931467782103637
41,0.0026853211364899357,-0.6931467819994753
41,0.0026898211364899363,-0.6931467856918593
41,0.002693821136489937,-0.693146788894773
41,0.0026983211364899375,-0.6931467924111365
41,0.002702821136489938,-0.6931467958377361
41,0.0027068211364899386,-0.6931467988100976
41,0.002711321136489939,-0.6931468020733454
41,0.00271582113648994,-0.69314680525329
41,0.0027198211364899403,-0.6931468080116947
41,0.002724321136489941,-0.6931468110400469
41,0.0027288211364899415,-0.6931468139910928
41,0.002732821136489942,-0.6931468165509412
41,0.0027373211364899426,-0.6931468193613064
41,0.0027418211364899432,-0.6931468220999302
41,0.0027458211364899438,-0.6931468244755155
41,0.0027503211364899444,-0.6931468270835849
41,0.002754821136489945,-0.693146829625076
41,0.0027588211364899455,-0.6931468318296623
41,0.002763321136489946,-0.6931468342499968
41,0.0027678211364899467,-0.6931468366085468
41,0.002771821136489947,-0.6931468386544415
41,0.002776321136489948,-0.6931468409005549
41,0.0027808211364899484,-0.6931468430893309
41,0.002784821136489949,-0.6931468449879582
41,0.0027893211364899495,-0.693146847072392
41,0.00279382113648995,-0.6931468491036157
41,0.0027983211364899507,-0.6931468510829868
41,0.0028023211364899513,-0.6931468527999677
41,0.002806821136489952,-0.6931468546849787
41,0.0028113211364899525,-0.6931468565218699
41,0.002815321136489953,-0.6931468581152591
41,0.0028198211364899536,-0.6931468598645835
41,0.002824321136489954,-0.693146861569252
41,0.0028283211364899547,-0.6931468630479456
41,0.0028328211364899553,-0.6931468646713498
41,0.002837321136489956,-0.6931468662533121
41,0.0028413211364899564,-0.6931468676255657
41,0.002845821136489957,-0.6931468691321134
41,0.0028503211364899576,-0.6931468706002034
41,0.002854321136489958,-0.6931468718736791
41,0.0028588211364899588,-0.6931468732717828
41,0.0028633211364899594,-0.6931468746341961
41,0.00286732113648996,-0.6931468758160045
41,0.0028718211364899605,-0.6931468771134689
41,0.002876321136489961,-0.6931468783778127
41,0.0028803211364899616,-0.6931468794745522
41,0.002884821136489962,-0.6931468806786232
41,0.002889321136489963,-0.6931468818519563
41,0.0028933211364899633,-0.6931468828697506
41,0.002897821136489964,-0.6931468839871499
41,0.0029023211364899645,-0.6931468850760245
41,0.002906321136489965,-0.6931468860205557
41,0.0029108211364899657,-0.693146887057522
41,0.0029153211364899663,-0.6931468880680173
41,0.002919821136489967,-0.693146889052717
41,0.0029238211364899674,-0.6931468899068833
41,0.002928321136489968,-0.6931468908446408
41,0.0029328211364899686,-0.6931468917584597
41,0.002936821136489969,-0.6931468925511401
41,0.0029413211364899697,-0.6931468934213953
41,0.0029458211364899703,-0.6931468942694352
41,0.002949821136489971,-0.6931468950050578
41,0.0029543211364899714,-0.6931468958126707
41,0.002958821136489972,-0.6931468965996667
41,0.0029628211364899726,-0.6931468972823371
41,0.002967321136489973,-0.693146898031816
41,0.0029718211364899738,-0.6931468987621622
41,0.0029758211364899743,-0.6931468993956925
41,0.002980321136489975,-0.6931469000912226
41,0.0029848211364899755,-0.6931469007689972
41,0.002988821136489976,-0.6931469013569247
41,0.0029933211364899766,-0.6931469020023898
41,0.002997821136489977,-0.6931469026313769
41,0.0030018211364899777,-0.6931469031769846
41,0.0030063211364899783,-0.6931469037759868
41,0.003010821136489979,-0.6931469043596986
41,0.0030148211364899795,-0.6931469048660316
41,0.00301932113648998,-0.6931469054219163
41,0.0030238211364899807,-0.693146905963611
41,0.003027821136489981,-0.6931469064334974
41,0.003032321136489982,-0.6931469069493683
41,0.0030368211364899824,-0.6931469074520707
41,0.003041321136489983,-0.6931469079419401
41,0.0030453211364899835,-0.6931469083668714
41,0.003049821136489984,-0.6931469088333877
41,0.0030543211364899847,-0.6931469092879946
41,0.0030583211364899852,-0.6931469096823382
41,0.003062821136489986,-0.6931469101152735
41,0.0030673211364899864,-0.6931469105371575
41,0.003071321136489987,-0.6931469109031156
41,0.0030758211364899876,-0.6931469113048875
41,0.003080321136489988,-0.6931469116964032
41,0.0030843211364899887,-0.693146912036019
41,0.0030888211364899893,-0.6931469124088705
41,0.00309332113648999,-0.6931469127722045
41,0.0030973211364899904,-0.6931469130873738
41,0.003101821136489991,-0.6931469134333867
41,0.0031063211364899916,-0.6931469137705671
41,0.003110321136489992,-0.69314691406305
41,0.0031148211364899927,-0.6931469143841555
41,0.0031193211364899933,-0.6931469146970648
41,0.003123321136489994,-0.6931469149684935
41,0.0031278211364899945,-0.6931469152664852
41,0.003132321136489995,-0.6931469155568707
41,0.0031363211364899956,-0.6931469158087621
41,0.003140821136489996,-0.693146916085304
41,0.003145321136489997,-0.6931469163547868
41,0.0031493211364899973,-0.6931469165885458
41,0.003153821136489998,-0.6931469168451814
41,0.0031583211364899985,-0.6931469170952658
41,0.003162821136489999,-0.6931469173389676
41,0.0031668211364899996,-0.6931469175503628
41,0.0031713211364900002,-0.6931469177824464
41,0.003175821136490001,-0.6931469180086048
41,0.0031798211364900014,-0.6931469182047835
41,0.003184321136490002,-0.6931469184201611
41,0.0031888211364900026,-0.6931469186300404
41,0.003192821136490003,-0.6931469188120971
41,0.0031973211364900037,-0.6931469190119711
41,0.0032018211364900043,-0.6931469192067428
41,0.003205821136490005,-0.6931469193756951
41,0.0032103211364900054,-0.6931469195611818
41,0.003214821136490006,-0.6931469197419337
41,0.0032188211364900065,-0.6931469198987249
41,0.003223321136490007,-0.69314692007086
41,0.0032278211364900077,-0.6931469202386008
