p,X,group,profile,Y,stages,relative_error,valid
6,1.7976931348623157e+308,grid,untrimmed,1.6894922256469724,3,4.1996735275816967e-05,True
6,1.7976931348623157e+308,grid,trim_target,1.6894922256469724,3,1.207599821139734e-06,True
7,5e-324,grid,ideal,1.1615259051322937,4,7.75172605682622e-18,True
7,5e-324,grid,untrimmed,1.1615259051322937,4,1.619168310596644e-05,True
7,5e-324,grid,trim_target,1.1615259051322937,4,6.186652776526956e-07,True
7,2.2250738585072014e-308,grid,ideal,1,4,3.1909107524435223e-90,True
7,2.2250738585072014e-308,grid,untrimmed,1,4,1.326569167545565e-05,True
7,2.2250738585072014e-308,grid,trim_target,1,4,5.306128614382747e-07,True
7,1e-300,grid,ideal,1.5557312560238405,4,3.0145918854388616e-17,True
7,1e-300,grid,untrimmed,1.5557312560238405,4,3.240577819993148e-05,True
7,1e-300,grid,trim_target,1.5557312560238405,4,1.012319757289031e-06,True
7,1e-100,grid,ideal,1.8685614590236121,4,3.065049735748405e-18,True
7,1e-100,grid,untrimmed,1.8685614590236121,4,5.15306799226373e-05,True
7,1e-100,grid,trim_target,1.8685614590236121,4,1.4468388140275231e-06,True
7,0.001,grid,ideal,1.1894025268554687,4,1.3298489109600128e-17,True
7,0.001,grid,untrimmed,1.1894025268554687,4,1.695705435938767e-05,True
7,0.001,grid,trim_target,1.1894025268554687,4,6.38991755527354e-07,True
7,0.125,grid,ideal,1.1615259051322937,4,7.75172605682622e-18,True
7,0.125,grid,untrimmed,1.1615259051322937,4,1.619573516500466e-05,True
7,0.125,grid,trim_target,1.1615259051322937,4,6.18669183428524e-07,True
7,0.5,grid,ideal,1.1403486728668213,4,6.284483942188648e-19,True
7,0.5,grid,untrimmed,1.1403486728668213,4,1.565750952563474e-05,True
7,0.5,grid,trim_target,1.1403486728668213,4,6.041551458601711e-07,True
7,0.9999999999999999,grid,ideal,1.5286306776106355,4,2.0816681711721682e-17,True
7,0.9999999999999999,grid,untrimmed,1.5286306776106355,4,3.0995597755627545e-05,True
7,0.9999999999999999,grid,trim_target,1.5286306776106355,4,9.790150641293124e-07,True
7,1,grid,ideal,1,4,0.0,True
7,1,grid,untrimmed,1,4,1.32649210143971e-05,True
7,1,grid,trim_target,1,4,5.306116283736353e-07,True
7,1.0000000000000002,grid,ideal,1.0000000000000002,4,4.0248005368418966e-33,True
7,1.0000000000000002,grid,untrimmed,1.0000000000000002,4,1.3265691675455649e-05,True
7,1.0000000000000002,grid,trim_target,1.0000000000000002,4,5.306128614382747e-07,True
7,2,grid,ideal,2,4,2.895354120790424e-17,True
7,2,grid,untrimmed,2,4,6.065645473625263e-05,True
7,2,grid,trim_target,2,4,1.6524883514641375e-06,True
7,3,grid,ideal,1.1780877113342285,4,7.659349134877892e-18,True
7,3,grid,untrimmed,1.1780877113342285,4,1.664254467118638e-05,True
7,3,grid,trim_target,1.1780877113342285,4,6.305810489201023e-07,True
7,10,grid,ideal,1.3348388671875,4,9.669360256320884e-18,True
7,10,grid,untrimmed,1.3348388671875,4,2.1988927416953038e-05,True
7,10,grid,trim_target,1.3348388671875,4,7.655080635131861e-07,True
7,500000,grid,ideal,1.1368683772161603,4,1.9449078691395197e-18,True
7,500000,grid,untrimmed,1.1368683772161603,4,1.5577168534197377e-05,True
7,500000,grid,trim_target,1.1368683772161603,4,6.018531011401162e-07,True
7,1e+100,grid,ideal,1.220563195671062,4,1.6063046102730336e-17,True
7,1e+100,grid,untrimmed,1.220563195671062,4,1.7892818997441562e-05,True
7,1e+100,grid,trim_target,1.220563195671062,4,6.632938501599347e-07,True
7,1e+300,grid,ideal,1.3962008483679471,4,2.3372176218944858e-17,True
7,1e+300,grid,untrimmed,1.3962008483679471,4,2.459164282305477e-05,True
7,1e+300,grid,trim_target,1.3962008483679471,4,8.280845609113453e-07,True
7,1.7976931348623157e+308,grid,ideal,1.5707836151123045,4,1.2485083291816732e-17,True
7,1.7976931348623157e+308,grid,untrimmed,1.5707836151123045,4,3.3218199279169575e-05,True
7,1.7976931348623157e+308,grid,trim_target,1.5707836151123045,4,1.0311588689153784e-06,True
8,5e-324,grid,ideal,1.4901161193847656,3,5.768891040549678e-18,True
8,5e-324,grid,untrimmed,1.4901161193847656,3,2.393210118816024e-05,True
8,5e-324,grid,trim_target,1.4901161193847656,3,7.541154030673847e-07,True
8,2.2250738585072014e-308,grid,ideal,1.3744356632232666,3,1.3038587578115838e-18,True
8,2.2250738585072014e-308,grid,untrimmed,1.3744356632232666,3,1.9329273209195824e-05,True
8,2.2250738585072014e-308,grid,trim_target,1.3744356632232666,3,6.48384136577385e-07,True
8,1e-300,grid,ideal,1.0727185015486296,3,2.849368271878072e-17,True
8,1e-300,grid,untrimmed,1.0727185015486296,3,1.1488003330344214e-05,True
8,1e-300,grid,trim_target,1.0727185015486296,3,4.539590213485433e-07,True
8,1e-100,grid,ideal,1.401421094267709,3,1.1503314580457755e-17,True
8,1e-100,grid,untrimmed,1.401421094267709,3,2.033297955362538e-05,True
8,1e-100,grid,trim_target,1.401421094267709,3,6.717333115049587e-07,True
8,0.001,grid,ideal,1.52587890625,3,1.6632864110688336e-17,True
8,0.001,grid,untrimmed,1.52587890625,3,2.5495474281966032e-05,True
8,0.001,grid,trim_target,1.52587890625,3,7.896164462157535e-07,True
8,0.125,grid,ideal,1.5970981195569038,3,4.922346349433924e-19,True
8,0.125,grid,untrimmed,1.5970981195569038,3,2.877072734136027e-05,True
8,0.125,grid,trim_target,1.5970981195569038,3,8.639070116925582e-07,True
