time,state,q,residual,candidate,denominator,target,stagepeak,delta,first,corpeak,innerden,stored,stored_read,candidate_current_A,transfer_current_A
5.172392394255210477e-05,3.724672948686453804e-08,-7.407632047287218727e-08,1.215999698127704587e+00,-1.888093332824622161e-01,2.287999593213132066e+00,-1.888087862843334241e-01,3.506416935704874587e-07,-1.888091788131242288e-01,8.741333800753893213e-01,8.743079043254755600e-01,1.143999796605486008e+00,-2.660286061240625074e-10,3.045551864928015555e-05,5.469981286531663624e-08,-5.720858447133246890e-13
5.540874923495149406e-05,4.014975261873358557e-08,1.872550377206172227e-06,1.216001203185044233e+00,-1.888087153595741363e-01,2.288001599956221099e+00,-1.888088013466112380e-01,2.435013829506287326e-06,-1.888107229016959265e-01,8.741303780984648331e-01,8.743041251068557340e-01,1.144000799977030747e+00,-2.871099824986563265e-10,3.045549756791496266e-05,-8.598703709411195755e-09,-5.720810810000292299e-13
5.940874923495148286e-05,4.330108045708793374e-08,4.131342886236467539e-06,1.216003866073632533e+00,-1.888094976912505218e-01,2.288005150474286431e+00,-1.888097496020174904e-01,4.697668876120494781e-06,-1.888134766305049894e-01,8.741257302861250578e-01,8.742993526810590721e-01,1.144002575236063191e+00,-3.099945414238542070e-10,3.045547468343528833e-05,-2.519107669529900024e-08,-5.720826210753337661e-13
6.052577666782154838e-05,4.418111036823486073e-08,4.584019103412463558e-06,1.216004617384040865e+00,-1.888097856206762959e-01,2.288006152221482292e+00,-1.888101180979837590e-01,4.612473406429370083e-06,-1.888143423786856068e-01,8.741245242097639423e-01,8.742986058359779600e-01,1.144003076109661343e+00,-3.163852312484945935e-10,3.045546829277135035e-05,-3.324773074483427398e-08,-5.720834265189632900e-13
6.209902585698509440e-05,4.542056635941386804e-08,3.780549292870608555e-06,1.216005026875952133e+00,-1.888110187681114049e-01,2.288006698210689471e+00,-1.888121962364530393e-01,4.008661709296330409e-06,-1.888159509282035797e-01,8.741236225697388562e-01,8.742979381592353993e-01,1.144003349104264711e+00,-3.253860684426345615e-10,3.045545929198111473e-05,-1.177468340263708840e-07,-5.720856112710441026e-13
6.514649807887317877e-05,4.782146237041620008e-08,1.011835464213187919e-06,1.216002968905681048e+00,-1.888148006780066834e-01,2.288003954250369620e+00,-1.888158643086882971e-01,1.591084112544879425e-06,-1.888174970326349233e-01,8.741225881081604587e-01,8.742972873421070990e-01,1.144001977124104563e+00,-3.428214432805138491e-10,3.045544185675729069e-05,-1.063630680611751739e-07,-5.720958474948049400e-13
6.914649807887327600e-05,5.097279020597434690e-08,-2.848124592304403045e-06,1.215998472409788311e+00,-1.888181446816064868e-01,2.287997958922601605e+00,-1.888188538481540557e-01,3.815708011364185307e-06,-1.888174755071484467e-01,8.741227657524150985e-01,8.742977253360411094e-01,1.143998979460220777e+00,-3.657069153205888706e-10,3.045541897146280793e-05,-7.091665472879956337e-08,-5.721072177262756221e-13
7.047246258283564198e-05,5.201742741829553027e-08,-3.998367940683467365e-06,1.215996928621694728e+00,-1.888190121673878619e-01,2.287995900538507321e+00,-1.888193841469147927e-01,4.447343621618613061e-06,-1.888171645646569141e-01,8.741229709399960246e-01,8.742980539983181698e-01,1.143997950268173636e+00,-3.732933271927163571e-10,3.045541138510136437e-05,-3.719795268623600224e-08,-5.721101436321852822e-13
7.210073727633861749e-05,5.330023425920439293e-08,-4.020276581787627916e-06,1.215995624136740005e+00,-1.888180438987185628e-01,2.287994161225260115e+00,-1.888166348357684932e-01,3.993542693677738735e-06,-1.888148340260979996e-01,8.741241446575859220e-01,8.743000825915790974e-01,1.143997080611550032e+00,-3.826093939489958721e-10,3.045540206906757335e-05,1.409062947764183903e-07,-5.721108414179271899e-13
7.532485913395420393e-05,5.584030049646838934e-08,-2.858271065018473983e-06,1.215995839415634494e+00,-1.888124083989362600e-01,2.287994448263782399e+00,-1.888107313905729723e-01,3.133899347209555565e-06,-1.888109651726034011e-01,8.741280668368550666e-01,8.743040039476351888e-01,1.143997224130810952e+00,-4.010556523461836229e-10,3.045538362272538877e-05,1.677008359362716379e-07,-5.720973150640890701e-13
