time,state,candidate,next,inverse,geometry,residual,clock_a,clock_b
8.362612017807410502e-06,9.999999156735214223e-01,7.999999903277297264e-01,7.999999903943237900e-01,1.000000084326486016e+00,1.999999667470715004e+00,1.999999512787540068e+00,3.000000000000000000e+00,0.000000000000000000e+00
8.462612017807409544e-06,9.999999144735198797e-01,7.999999901562671045e-01,7.999999902198207113e-01,1.000000085526487004e+00,1.999999662685634005e+00,1.999999505818379042e+00,3.000000000000000000e+00,0.000000000000000000e+00
8.562612017807408587e-06,9.999999132735183371e-01,7.999999900036021128e-01,7.999999900694528820e-01,1.000000086726489101e+00,1.999999657891029958e+00,1.999999498735923087e+00,3.000000000000000000e+00,0.000000000000000000e+00
8.662612017807407629e-06,9.999999120735169056e-01,7.999999898712818469e-01,7.999999899388819946e-01,1.000000087926490977e+00,1.999999653092980001e+00,1.999999491592935996e+00,3.000000000000000000e+00,0.000000000000000000e+00
8.762612017807406672e-06,9.999999108735153630e-01,7.999999897535275961e-01,7.999999898223039141e-01,1.000000089126493075e+00,1.999999648293681043e+00,1.999999484419588969e+00,3.000000000000000000e+00,0.000000000000000000e+00
8.806499999999999455e-06,9.999999103468593109e-01,7.999999897050810160e-01,7.999999897742220423e-01,1.000000089653148905e+00,1.999999646187198943e+00,1.999999481266153012e+00,2.100000000000060041e+00,0.000000000000000000e+00
8.807702829996743864e-06,9.999999103324250793e-01,7.999999897027560980e-01,7.999999897729251908e-01,1.000000089667582914e+00,1.999999646129466901e+00,1.999999481179695948e+00,1.378302001953414013e+00,0.000000000000000000e+00
8.810539624023436050e-06,9.999999102983847532e-01,7.999999896809560918e-01,7.999999897698713003e-01,1.000000089701623018e+00,1.999999645993308039e+00,1.999999480975789945e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.832844083658838619e-06,9.999999100307312982e-01,7.999999895025202701e-01,7.999999897460432496e-01,1.000000089969276917e+00,1.999999644922741959e+00,1.999999479372297939e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.932844083658837662e-06,9.999999088307308659e-01,7.999999887025193157e-01,7.999999896424624390e-01,1.000000091169277017e+00,1.999999640122869016e+00,1.999999472179168070e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.032844083658836705e-06,9.999999076307296564e-01,7.999999879025188054e-01,7.999999895424587670e-01,1.000000092369278892e+00,1.999999635322913027e+00,1.999999464982185060e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.132844083658835747e-06,9.999999064307287799e-01,7.999999871025180731e-01,7.999999894444120851e-01,1.000000093569280102e+00,1.999999630522925953e+00,1.999999457783484091e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.232844083658834790e-06,9.999999052307276814e-01,7.999999863025174518e-01,7.999999893473930257e-01,1.000000094769281089e+00,1.999999625722927998e+00,1.999999450584033944e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.332844083658833832e-06,9.999999040307268050e-01,7.999999855025169415e-01,7.999999892508976584e-01,1.000000095969282077e+00,1.999999620922928045e+00,1.999999443384262054e+00,0.000000000000000000e+00,0.000000000000000000e+00
