time,state,candidate,output,geometry,next,num,den,clock_a,clock_b,clip_ratio
7.332209485706340213e-06,1.826631554568550087e+00,1.826631544610699986e+00,8.983480790761930734e+00,1.543927981049189935e+00,2.251614251689709967e+00,2.164798554318169810e+00,1.330445066300049994e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.301698872971700061e+00
7.832209485706339661e-06,1.951631501930209955e+00,1.951631491972940058e+00,8.394041988433659895e+00,1.771294004697810065e+00,2.407848560884279898e+00,2.202903644063670008e+00,1.406636195532269928e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.252863335057780025e+00
8.332209485706350120e-06,2.076631449282780206e+00,2.076631439327090156e+00,7.877320631656870020e+00,2.014283296432109793e+00,2.564082870067419861e+00,2.246470937611409813e+00,1.493749001594750103e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.203131682810429925e+00
8.832209485706350415e-06,2.201631396626440029e+00,2.201631386672949997e+00,7.420539070474389653e+00,2.272895856249180113e+00,2.720317179239390093e+00,2.295867053730149987e+00,1.592516538737640097e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.153327829384400038e+00
9.332209485706350710e-06,2.326631343961329978e+00,2.326631334010400121e+00,7.013838396590469593e+00,2.547131684145989894e+00,2.876551488400370005e+00,2.351458127607170212e+00,1.703670894289879945e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.104184210864900040e+00
9.832209485706359475e-06,2.451631291287510006e+00,2.451631281339360147e+00,6.649409123890399620e+00,2.836990780119470035e+00,3.032785797550450191e+00,2.413610297055599929e+00,1.827944160830760056e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.056316860723790052e+00
1.033220948570640043e-05,2.576631238605029850e+00,2.576631228659799877e+00,6.320985480725339833e+00,3.142473144166490151e+00,3.189020106689699929e+00,2.482689700267449950e+00,1.966068431697209906e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.010214969173959920e+00
1.060289414900060013e-05,2.644302375904299840e+00,2.644302365960620183e+00,6.156383264921520215e+00,3.314370344476989860e+00,3.251023071610930071e+00,2.523105675265960191e+00,2.046880176131439910e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.861273579907480213e-01
1.092388260005490056e-05,2.724549454839300111e+00,2.724549444896250172e+00,5.971958940512489988e+00,3.524147111222569961e+00,3.262246170628780195e+00,2.573883635821069937e+00,2.148410711307759957e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.584326208256269686e-01
1.141453311561659985e-05,2.847212032012969907e+00,2.847212022066960113e+00,5.710465993761070003e+00,3.857247094724220116e+00,3.266370301167969892e+00,2.657689971168740062e+00,2.315981483863310153e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.180349634342579446e-01
1.191453311561660015e-05,2.972211979300220186e+00,2.972211969347589910e+00,5.466553536885569997e+00,4.212171591243309976e+00,3.266801032305000074e+00,2.751104597898209825e+00,2.502764035613199933e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.793812148985189481e-01
1.241453311561660044e-05,3.097211926576119989e+00,3.097211916614539984e+00,5.242626694273299748e+00,4.582719355815109807e+00,3.264900016929169979e+00,2.852971102797510206e+00,2.706446118270720014e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.433114063342299627e-01
1.291453311561660074e-05,3.222211873840219898e+00,3.222211863868190029e+00,5.036325155360279915e+00,4.968890388433580441e+00,3.261850508996360087e+00,2.963655820341169811e+00,2.927760217639700180e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.098083449328099537e-01
1.341453311561659934e-05,3.347211821092200168e+00,3.347211811108790069e+00,4.845646608400230093e+00,5.370684689093080166e+00,3.258621100015290040e+00,3.083524884398490151e+00,3.167438418413739853e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01
1.391453311561659963e-05,3.472211768331889825e+00,3.472211758336530174e+00,4.668880983319009914e+00,5.788102257788329652e+00,3.255982242871379828e+00,3.212944433101160069e+00,3.426212813809129898e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01
1.441453311561659993e-05,3.597211715559180067e+00,3.597211705551570216e+00,4.504559019571580336e+00,6.221143094514210325e+00,3.254530902395869951e+00,3.352280604629549909e+00,3.704815497139459790e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01
1.491453311561660022e-05,3.722211662774010055e+00,3.722211652754010114e+00,4.351411316414700359e+00,6.669807199265790132e+00,3.254715890069570072e+00,3.501899537159329778e+00,4.003978561708989581e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01
1.517774864519220081e-05,3.784931541022070078e+00,3.784931530995550020e+00,4.275506814761519614e+00,6.911562083263270040e+00,3.254539007116739935e+00,3.584781991141599899e+00,4.169702033419000031e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01
1.566029736155769906e-05,3.866868832331880057e+00,3.866868822293750174e+00,4.167333537554010370e+00,7.302956508057500074e+00,3.239341121321159811e+00,3.726731359298849799e+00,4.453529803565520417e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01
1.616029736155770105e-05,3.919056353708719964e+00,3.919056343659780062e+00,4.100037131560839931e+00,7.572191555318349643e+00,3.222834824872350179e+00,3.830310932535419877e+00,4.660637166466210068e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01
1.666029736155769965e-05,3.950811046383500003e+00,3.950811036325740044e+00,4.060189909744919667e+00,7.738327254752539908e+00,3.213273568274260139e+00,3.895470537212430084e+00,4.790923799927069737e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01
1.716029736155770164e-05,3.970132738237659886e+00,3.970132728173179970e+00,4.036326214838050319e+00,7.840311222911320321e+00,3.207790545394920034e+00,3.935872575903120119e+00,4.871707678712989598e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01
1.766029736155759860e-05,3.981889354877839793e+00,3.981889344808470010e+00,4.021943422844920235e+00,7.902697808044799821e+00,3.204567544051209804e+00,3.960740607086759901e+00,4.921431308556609707e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01
1.816029736155760059e-05,3.989042871028719794e+00,3.989042860955899883e+00,4.013244292075840214e+00,7.940784581768739692e+00,3.202652072897630209e+00,3.975980372661330087e+00,4.951903220737250422e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01
1.866029736155759919e-05,3.993395551301190061e+00,3.993395541225969847e+00,4.007969667682179882e+00,7.964005128667330347e+00,3.201501482121949849e+00,3.985293052816590187e+00,4.970523925266400411e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01
1.916029736155760118e-05,3.996044014679859924e+00,3.996044004603000133e+00,4.004767031026520208e+00,7.978150854132310066e+00,3.200807120058080102e+00,3.990974006711140110e+00,4.981882992919370423e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01
1.966029736155759978e-05,3.997655517898349942e+00,3.997655507820390142e+00,4.002820843617089785e+00,7.986764286165800364e+00,3.200386747636779994e+00,3.994436057728750100e+00,4.988805364136799980e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01
2.016029736155759838e-05,3.998636064823830161e+00,3.998636054745139834e+00,4.001637580889219947e+00,7.992007580780700060e+00,3.200131750097789940e+00,3.996544594437399844e+00,4.993021383412240333e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01
2.066029736155760037e-05,3.999232695511279800e+00,3.999232685432100087e+00,4.000917947730759927e+00,7.995198806584030038e+00,3.199976883089029833e+00,3.997828307763669820e+00,4.995588168285130415e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01
2.116029736155759897e-05,3.999595725742629782e+00,3.999595715663129880e+00,4.000480201608469955e+00,7.997140878682990284e+00,3.199882759163939827e+00,3.998609678499259967e+00,4.997150519117809608e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000444e-01
2.166029736155760096e-05,3.999816617747749881e+00,3.999816607668050139e+00,4.000213894573679596e+00,7.998322682968310282e+00,3.199825527954600179e+00,3.999085218261079877e+00,4.998101360900119694e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000315513763269770e-01
2.216029736155759956e-05,3.999951023297810160e+00,3.999951013217970086e+00,4.000051872703940248e+00,7.999041815270770073e+00,3.199790718872410178e+00,3.999374605985619890e+00,4.998679991672689837e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000912252964940130e-01
2.266029736155760155e-05,4.000032804672709830e+00,4.000032794592780050e+00,3.999953294207689858e+00,7.999479399759540144e+00,3.199769544378820108e+00,3.999550702793519985e+00,4.999032097250649898e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.001275360249090474e-01
2.316029736155760015e-05,4.000082565960680014e+00,4.000082555880699609e+00,3.999893314810099909e+00,7.999745661547070341e+00,3.199756662392959861e+00,3.999657857095700209e+00,4.999246352284290040e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.001496303163180279e-01
2.366029736155759875e-05,4.000112844074539709e+00,4.000112833994520223e+00,3.999856820194379825e+00,7.999907675319080091e+00,3.199748824874100173e+00,3.999723058879590010e+00,4.999376723255079646e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.001630741179850403e-01
2.416029736155760074e-05,4.000131267315089723e+00,4.000131257235049809e+00,3.999834614743070116e+00,8.000006256205880462e+00,3.199744056277590065e+00,3.999762732733350035e+00,4.999456051128070122e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.001712542861350030e-01
2.466029736155759934e-05,4.000142477253540108e+00,4.000142467173479766e+00,3.999821103574329850e+00,8.000066239747640751e+00,3.199741154845340052e+00,3.999786873234520090e+00,4.999504320061589624e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.001762316709499778e-01
2.516029736155760133e-05,4.000149298133919729e+00,4.000149288053849617e+00,3.999812882515509926e+00,8.000102737879570824e+00,3.199739389456810024e+00,3.999801562035259828e+00,4.999533690319569956e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.001792602541439869e-01
2.566029736155759993e-05,4.000153448416219781e+00,4.000153438336139899e+00,3.999807880287090001e+00,8.000124945838649637e+00,3.199738315289769819e+00,3.999810499725129809e+00,4.999551561230989982e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.001811030506199574e-01
