time,state,candidate,output,geometry,next,num,den,clock_a,clock_b,clip_ratio
1.998206964610679887e-06,4.931318548925680001e-01,4.931318635556329877e-01,4.732773053480029968e-01,4.732773053480029968e-01,8.957071561388390002e-01,4.002083522586119990e+00,2.002608054554699812e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.592491583522440024e-01
2.372918635909940093e-06,5.868097293818219651e-01,5.868097384768410363e-01,5.669448762763600325e-01,5.669448762763600325e-01,1.082275195895670006e+00,4.003014354136319675e+00,2.004470044043519916e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.585809953575380460e-01
2.830556975908950150e-06,7.012192615381069860e-01,7.012192709859039752e-01,6.813418246193500005e-01,6.813418246193500005e-01,1.309283736323610059e+00,4.004722140682489773e+00,2.007886163218609799e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.573583715703739561e-01
3.330556975908950022e-06,8.262192038679889716e-01,8.262192135594359499e-01,8.063280183113249455e-01,8.063280183113249455e-01,1.555729063673430002e+00,4.007461103401279701e+00,2.013364965205110213e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.554061796348649604e-01
3.830556975908949893e-06,9.512191462371970552e-01,9.512191560809239999e-01,9.313142120465940366e-01,9.313142120465940366e-01,1.799838445686130051e+00,4.011289639760570402e+00,2.021023263162540218e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.526951332819439955e-01
4.330556975908950188e-06,1.076219088627700105e+00,1.076219098568270027e+00,1.056300405805560061e+00,1.056300405805560061e+00,2.040795702646430065e+00,4.016390844210840250e+00,2.031227304591360028e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.491146563642030021e-01
4.830556975908949636e-06,1.201219031028539996e+00,1.201219041032260071e+00,1.181286599576329976e+00,1.181286599576329976e+00,2.277692601117419890e+00,4.022947690881299998e+00,2.044343096306810104e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.445649779034900329e-01
5.330556975908939767e-06,1.326218973433040071e+00,1.326218983479350078e+00,1.306272793351660022e+00,1.306272793351660022e+00,2.509548936554019782e+00,4.031143153605749596e+00,2.060736644533279982e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.389597253118430187e-01
5.830556975908940062e-06,1.451218915837130030e+00,1.451218925913339897e+00,1.431258987127119964e+00,1.431258987127119964e+00,2.735337035432229946e+00,4.041160206286139811e+00,2.080773955631439964e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.322285554951990072e-01
6.330556975908940357e-06,1.576218858238269904e+00,1.576218868336459966e+00,1.556245180899969993e+00,1.556245180899969993e+00,2.954009827225620111e+00,4.053181822822540248e+00,2.104821035958170050e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.243195700078189470e-01
6.830556975908939805e-06,1.701218800634850092e+00,1.701218810749919985e+00,1.681231374668489931e+00,1.681231374668489931e+00,3.164531545852829808e+00,4.067390977114960116e+00,2.133243891870269859e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.152013402655549967e-01
7.330556975908940100e-06,1.826218743025830094e+00,1.826218753154370100e+00,1.806217568431540021e+00,1.806217568431540021e+00,3.365909794247269993e+00,4.083970643063319805e+00,2.166408529724380028e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.048643788574669555e-01
7.830556975908939548e-06,1.951218685410480047e+00,1.951218695550039905e+00,1.931203762188379969e+00,1.931203762188379969e+00,3.557227446605809806e+00,4.103103794567499740e+00,2.204680955877019954e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.933219185592650158e-01
8.330556975908950007e-06,2.076218627788270155e+00,2.076218637936949829e+00,2.056189955938430014e+00,2.056189955938430014e+00,3.737672722455430030e+00,4.124973405527289749e+00,2.248427176684510087e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.806099014904880118e-01
8.830556975908950302e-06,2.201218570158760102e+00,2.201218580314990181e+00,2.181176149681249843e+00,2.181176149681249843e+00,3.906565772995600039e+00,4.149762449842389955e+00,2.298013198503059851e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.667861338354160283e-01
9.330556975908960762e-06,2.326218512521580184e+00,2.326218522683929812e+00,2.306162343416460203e+00,2.306162343416460203e+00,4.063380284180549751e+00,4.177653901412430315e+00,2.353805027688680163e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.519286215263900397e-01
9.830556975908959363e-06,2.451218454876389785e+00,2.451218465043520034e+00,2.431148537143709820e+00,2.431148537143709820e+00,4.207758912314290001e+00,4.208830734136919993e+00,2.416168670597170109e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.361331627496240149e-01
1.033055697590900032e-05,2.576218397222859835e+00,2.576218407393460197e+00,2.556134730862670068e+00,2.556134730862670068e+00,4.339521795070959698e+00,4.243475921915289995e+00,2.485470133584180008e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.195103271969600423e-01
1.083055697590900061e-05,2.701218339560659931e+00,2.701218349733439883e+00,2.681120924573019870e+00,2.681120924573019870e+00,4.458667875696639804e+00,4.281772438646870071e+00,2.562075423005110153e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.021819935450640315e-01
1.133055697590899921e-05,2.826218281889469885e+00,2.826218292063150006e+00,2.806107118274430157e+00,2.806107118274430157e+00,4.565369283683899937e+00,4.323903258230860303e+00,2.646350545215149896e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.842776413687519987e-01
1.183055697590899951e-05,2.951218224208969954e+00,2.951218234382300132e+00,2.931093311966579851e+00,2.931093311966579851e+00,4.659959474955459591e+00,4.370051354566360402e+00,2.738661506569259885e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.659305996901809577e-01
1.233055697590899980e-05,3.076218166518850161e+00,3.076218176690599826e+00,3.056079505649170081e+00,3.056079505649170081e+00,4.742916201552329625e+00,4.420399701552350180e+00,2.839374313422169838e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.472744423293510296e-01
1.283055697590900010e-05,3.201218108818809860e+00,3.201218118987779970e+00,3.181065699321880214e+00,3.181065699321880214e+00,4.814840624059569585e+00,4.475131273087670003e+00,2.948854972128350127e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.284396931235890271e-01
1.333055697590900039e-05,3.326218051108559948e+00,3.326218061273590099e+00,3.306051892984430030e+00,3.306051892984430030e+00,4.876433987699919648e+00,4.534429043071059873e+00,3.067469489042040198e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.095509664661759919e-01
1.383055697590900069e-05,3.451217993387820204e+00,3.451218003547820157e+00,3.431038086636520212e+00,3.431038086636520212e+00,4.928473261766569635e+00,4.598475985401109689e+00,3.195583870517200165e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.907246257058109462e-01
1.433055697590899929e-05,3.576217935656309965e+00,3.576217945810260090e+00,3.556024280277899852e+00,3.556024280277899852e+00,4.971787013085759988e+00,4.667455073976309876e+00,3.333564122907569871e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.720669988006620077e-01
1.483055697590899958e-05,3.701217877913789867e+00,3.701217888060739813e+00,3.681010473908319813e+00,3.681010473908319813e+00,5.007232577822979813e+00,4.741549282695009637e+00,3.481776252566609831e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.536731514270319732e-01
1.533055697590900157e-05,3.814733456330400063e+00,3.814733466469530043e+00,3.798524720281939882e+00,3.798524720281939882e+00,5.031095977373479577e+00,4.819770527021700168e+00,3.638243774208619996e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.358809350020020457e-01
1.583055697590900017e-05,3.887316630564650044e+00,3.887316640695679837e+00,3.877381816337929887e+00,3.877381816337929887e+00,5.026770409534189632e+00,4.886175730560950115e+00,3.771075432811790140e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.462353322773339848e-01
1.633055697590899877e-05,3.931498372827659793e+00,3.931498382951100101e+00,3.925359487625780019e+00,3.925359487625780019e+00,5.017683044983420437e+00,4.929789061505849723e+00,3.858316052188790035e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.542322513099909642e-01
1.683055697590900076e-05,3.958381600662800093e+00,3.958381610779860171e+00,3.954552317466820011e+00,3.954552317466820011e+00,5.011667045942759913e+00,4.956990651053690300e+00,3.912727936554849961e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.590981126659489764e-01
1.733055697590899936e-05,3.974739164687299819e+00,3.974739174799399866e+00,3.972315205975910146e+00,3.972315205975910146e+00,5.007858873000650135e+00,4.973803606538790056e+00,3.946359228141630204e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.620588312133840470e-01
1.783055697590900135e-05,3.984692206624719901e+00,3.984692216733139780e+00,3.983123341663770134e+00,3.983123341663770134e+00,5.005480313411750259e+00,4.984133330920929694e+00,3.967021982706960159e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.638603314467460548e-01
1.833055697590899995e-05,3.990748306642999843e+00,3.990748316748780056e+00,3.989699738224509851e+00,3.989699738224509851e+00,5.004012402917940250e+00,4.990454474293019693e+00,3.979666292394049787e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.649564853331330072e-01
1.883055697590899855e-05,3.994433245143400146e+00,3.994433255247329839e+00,3.993701260129229880e+00,3.993701260129229880e+00,5.003111891677129996e+00,4.994313982378249861e+00,3.987386543715159881e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.656234590697109876e-01
1.933055697590900054e-05,3.996675409524899969e+00,3.996675419627560011e+00,3.996136055142930132e+00,3.996136055142930132e+00,5.002561271786549746e+00,4.996667298587030182e+00,3.992093929259810103e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.660292907424459896e-01
1.983055697590899914e-05,3.998039693111469894e+00,3.998039703213270180e+00,3.997617548159800194e+00,3.997617548159800194e+00,5.002225250299449755e+00,4.998101041924879695e+00,3.994961874773539812e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.662762260227470534e-01
2.033055697590900113e-05,3.998869814988339932e+00,3.998869825089550023e+00,3.998518988135930208e+00,3.998518988135930208e+00,5.002020428468360258e+00,4.998974104740759650e+00,3.996708279809829900e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.664264780527240362e-01
2.083055697590890148e-05,3.999374916960699800e+00,3.999374927061539964e+00,3.999067484835760133e+00,3.999067484835760133e+00,5.001895666814819563e+00,4.999505585578500444e+00,3.997771411574070122e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.665179014916290390e-01
2.133055697590890008e-05,3.999682254966840045e+00,3.999682265067419973e+00,3.999401227112210133e+00,3.999401227112210133e+00,5.001819703810750362e+00,4.999829067099289759e+00,3.998418478138789922e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.665735296597310455e-01
2.183055697590889868e-05,3.999869260077069999e+00,3.999869270177479841e+00,3.999604298356080001e+00,3.999604298356080001e+00,5.001773464458519669e+00,5.000025929385490286e+00,3.998812265712639924e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.666073775779830513e-01
2.233055697590890067e-05,3.999983046561499833e+00,3.999983056661799985e+00,3.999727860556610004e+00,3.999727860556610004e+00,5.001745322537139771e+00,5.000145726366690191e+00,3.999051898013429973e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.666279729275900179e-01
2.283055697590889927e-05,4.000052281910329910e+00,4.000052292010559896e+00,3.999803044108490191e+00,3.999803044108490191e+00,5.001728196586859632e+00,5.000218623618479796e+00,3.999197715846159795e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.666405045232479676e-01
2.333055697590890126e-05,4.000094409352359826e+00,4.000094419452549843e+00,3.999848790837249979e+00,3.999848790837249979e+00,5.001717775076929939e+00,5.000262980953300129e+00,3.999286444711399824e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.666481295887469738e-01
2.383055697590889986e-05,4.000120042520999952e+00,4.000120052621159772e+00,3.999876626223330067e+00,3.999876626223330067e+00,5.001711433585180444e+00,5.000289971584649606e+00,3.999340434611859951e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.666527691913529674e-01
2.433055697590889846e-05,4.000135639464540205e+00,4.000135649564679596e+00,3.999893563144030217e+00,3.999893563144030217e+00,5.001707574867690020e+00,5.000306394738950111e+00,3.999373286176319819e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.666555922375739796e-01
2.483055697590890045e-05,4.000145129693819968e+00,4.000145139793939819e+00,3.999903868705529941e+00,3.999903868705529941e+00,5.001705226917300351e+00,5.000316387778959815e+00,3.999393275454400154e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.666573099687339576e-01
2.533055697590889905e-05,4.000150904187489864e+00,4.000150914287609716e+00,3.999910139302159884e+00,3.999910139302159884e+00,5.001703798248920307e+00,5.000322468249279950e+00,3.999405438340970065e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.666583551518819872e-01
2.583055697590890104e-05,4.000154417777750382e+00,4.000154427877870233e+00,3.999913954754819922e+00,3.999913954754819922e+00,5.001702928944539828e+00,5.000326168028450091e+00,3.999412839083340110e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.666589911115939904e-01
2.633055697590889964e-05,4.000156555682339743e+00,4.000156565782459595e+00,3.999916276332789788e+00,3.999916276332789788e+00,5.001702399998899651e+00,5.000328419227390242e+00,3.999417342201660119e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.666593780722479545e-01
2.683055697590890163e-05,4.000157856527260414e+00,4.000157866627369607e+00,3.999917688936950100e+00,3.999917688936950100e+00,5.001702078151920361e+00,5.000329789009869685e+00,3.999420082204990123e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.666596135251320332e-01
2.733055697590890023e-05,4.000158648048789622e+00,4.000158658148899704e+00,3.999918548460310141e+00,3.999918548460310141e+00,5.001701882318250192e+00,5.000330622478259990e+00,3.999421749408500038e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.666597567904990473e-01
2.783055697590889883e-05,4.000159129663710011e+00,4.000159139763820093e+00,3.999919071452120001e+00,3.999919071452120001e+00,5.001701763159750236e+00,5.000331129616699677e+00,3.999422763847679807e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.666598439627829942e-01
2.833055697590890082e-05,4.000159422710620305e+00,4.000159432810730387e+00,3.999919389675509862e+00,3.999919389675509862e+00,5.001701690655660393e+00,5.000331438193920341e+00,3.999423381100870145e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.666598970042629801e-01
2.883055697590889942e-05,4.000159601020060407e+00,4.000159611120169600e+00,3.999919583304019977e+00,3.999919583304019977e+00,5.001701646539279622e+00,5.000331625953079673e+00,3.999423756679279851e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.666599292782660058e-01
2.933055697590890141e-05,4.000159709515520134e+00,4.000159719615630216e+00,3.999919701120620008e+00,3.999919701120620008e+00,5.001701619695910317e+00,5.000331740198389774e+00,3.999423985206460141e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.666599489159390490e-01
2.983055697590890001e-05,4.000159775531449746e+00,4.000159785631559828e+00,3.999919772808170126e+00,3.999919772808170126e+00,5.001701603362580073e+00,5.000331809712919906e+00,3.999424124257779933e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.666599608648210440e-01
3.033055697590889861e-05,4.000159815699979582e+00,4.000159825800089664e+00,3.999919816427690122e+00,3.999919816427690122e+00,5.001701593424289882e+00,5.000331852010240219e+00,3.999424208865950181e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.666599681353230222e-01
